step,time_ms
1,47.688
2,61.990
3,55.577
4,31.167
5,78.421
6,59.144
7,33.534
8,68.212
9,65.086
10,58.077
11,110.041
12,70.852
13,63.318
14,88.003
15,86.167
16,42.614
17,73.160
18,54.058
19,63.686
20,42.263
21,24.770
22,85.659
23,60.953
24,59.232
25,36.435
26,60.737
27,59.870
28,68.646
29,43.187
30,77.995
31,96.256
32,47.367
33,81.921
34,57.104
35,48.354
36,47.677
37,36.998
38,97.483
39,57.862
40,80.095
41,58.780
42,60.608
43,49.334
44,82.709
45,62.422
46,72.273
47,71.862
48,52.117
49,47.701
50,71.722
51,49.114
52,80.117
53,75.690
54,58.834
55,51.284
56,47.700
57,72.025
58,60.377
59,59.631
60,83.069
61,68.483
62,94.099
63,69.056
64,77.916
65,36.757
66,64.708
67,56.519
68,78.127
69,62.056
70,67.123
71,64.699
72,74.731
73,54.799
74,78.790
75,60.720
76,66.656
77,92.515
78,72.881
79,49.399
80,92.358
81,83.814
82,31.053
83,109.742
84,78.457
85,48.101
86,82.252
87,41.720
88,86.108
89,43.735
90,54.715
91,48.729
92,65.298
93,54.654
94,62.253
95,37.088
96,80.545
97,53.887
98,135.509
99,49.908
100,108.434
101,71.452
102,39.448
103,78.922
104,72.340
105,59.018
106,36.391
107,100.603
108,56.610
109,43.274
110,72.920
111,76.567
112,94.650
113,42.411
114,77.856
115,64.759
116,68.907
117,54.383
118,77.708
119,62.161
120,65.094
121,43.376
122,78.279
123,54.184
124,55.872
125,62.214
126,43.778
127,71.427
128,65.308
129,155.157
130,71.310
131,97.617
132,57.975
133,65.941
134,49.447
135,88.862
136,129.594
137,74.693
138,80.518
139,78.305
140,45.258
141,103.983
142,86.564
143,49.495
144,97.000
145,72.030
146,57.328
147,59.721
148,67.058
149,57.727
150,78.365
151,76.937
152,74.476
153,31.860
154,29.976
155,101.080
156,106.140
157,32.868
158,86.477
159,30.788
160,69.814
161,59.921
162,43.242
163,108.107
164,87.300
165,68.831
166,57.808
167,58.253
168,58.333
169,101.874
170,52.988
171,55.557
172,49.669
173,79.495
174,57.964
175,109.817
176,86.143
177,86.316
178,49.493
179,94.041
180,63.274
181,60.156
182,61.818
183,66.134
184,20.522
185,64.533
186,74.281
187,76.013
188,64.517
189,49.447
190,57.203
191,90.731
192,72.145
193,51.208
194,85.851
195,95.289
196,56.336
197,90.035
198,64.257
199,57.512
200,96.586
201,69.988
202,38.343
203,90.364
204,70.578
205,81.244
206,68.241
207,65.055
208,74.148
209,53.489
210,99.152
211,65.316
212,65.372
213,80.141
214,49.045
215,79.151
216,38.366
217,72.338
218,59.768
219,54.758
220,55.418
221,62.277
222,56.719
223,58.450
224,41.794
225,85.896
226,69.183
227,42.942
228,93.095
229,43.999
230,54.188
231,76.061
232,83.407
233,56.859
234,74.572
235,36.919
236,70.385
237,61.979
238,57.598
239,62.199
240,71.215
241,71.996
242,67.797
243,69.558
244,58.397
245,32.065
246,80.580
247,59.255
248,70.474
249,49.289
250,100.701
251,61.609
252,70.319
253,32.253
254,96.369
255,69.001
256,26.999
257,37.139
258,82.592
259,79.542
260,129.977
261,45.244
262,46.702
263,117.560
264,62.162
265,58.230
266,75.891
267,61.192
268,60.774
269,77.848
270,69.080
271,66.219
272,84.427
273,92.537
274,64.258
275,87.852
276,62.869
277,122.166
278,53.435
279,75.741
280,68.380
281,53.439
282,73.574
283,62.660
284,86.550
285,82.278
286,54.139
287,38.616
288,86.769
289,69.903
290,38.765
291,109.737
292,77.933
293,64.322
294,64.123
295,90.703
296,39.571
297,84.555
298,37.388
299,87.656
300,44.278
301,84.385
302,87.193
303,87.883
304,85.459
305,61.335
306,33.804
307,41.051
308,102.516
309,81.822
310,44.100
311,83.210
312,61.106
313,60.189
314,58.890
315,79.858
316,74.974
317,44.107
318,89.925
319,44.045
320,77.983
321,48.240
322,50.325
323,82.453
324,97.318
325,57.151
326,98.713
327,50.337
328,50.829
329,76.296
330,87.113
331,43.933
332,89.646
333,67.065
334,79.302
335,121.677
336,100.278
337,51.318
338,49.384
339,109.938
340,62.735
341,57.260
342,60.968
343,66.377
344,56.163
345,82.792
346,45.206
347,107.287
348,81.707
349,32.294
350,106.807
351,67.512
352,63.797
353,38.718
354,81.797
355,76.509
356,64.849
357,78.221
358,67.119
359,72.157
360,51.213
361,92.877
362,62.700
363,68.427
364,45.725
365,95.249
366,57.089
367,49.347
368,31.605
369,126.341
370,71.715
371,25.337
372,35.996
373,31.767
374,103.396
375,103.845
376,72.165
377,55.411
378,82.004
379,57.896
380,74.039
381,50.066
382,77.501
383,59.163
384,47.074
385,66.692
386,95.841
387,48.986
388,103.277
389,69.703
390,92.312
391,88.741
392,76.117
393,43.623
394,88.712
395,37.864
396,87.809
397,70.636
398,53.577
399,56.405
400,57.528
401,32.108
402,74.610
403,53.453
404,72.310
405,38.863
