step,time_ms
1,0.503
2,0.503
3,0.503
4,0.503
5,0.503
6,0.503
7,0.503
8,0.503
9,0.503
10,0.503
11,0.503
12,0.503
13,0.503
14,0.503
15,0.503
16,0.503
17,0.503
18,0.503
19,0.503
20,0.503
21,0.503
22,0.503
23,0.503
24,0.503
25,0.503
26,0.503
27,0.503
28,0.503
29,0.503
30,0.503
31,0.503
32,0.503
33,0.503
34,0.503
35,0.503
36,0.503
37,0.503
38,0.503
39,0.503
40,0.503
41,0.503
42,0.503
43,0.503
44,0.503
45,0.503
46,0.503
47,0.503
48,0.503
49,0.503
50,0.503
51,0.503
52,0.503
53,0.503
54,0.503
55,0.503
56,0.503
57,0.503
58,0.503
59,0.503
60,0.503
61,0.503
62,0.503
63,0.503
64,0.503
65,0.503
66,0.503
67,0.503
68,0.503
69,0.503
70,0.503
71,0.503
72,0.503
73,0.503
74,0.503
75,0.503
76,0.503
77,0.503
78,0.503
79,0.503
80,0.503
81,0.503
82,0.503
83,0.503
84,0.503
85,0.503
86,0.503
87,0.503
88,0.503
89,0.503
90,0.503
91,0.503
92,0.503
93,0.503
94,0.503
95,0.503
96,0.503
97,0.503
98,0.503
99,0.503
100,0.503
101,0.503
102,0.503
103,0.503
104,0.503
105,0.503
106,0.503
107,0.503
108,0.503
109,0.503
110,0.503
111,0.503
112,0.503
113,0.503
114,0.503
115,0.503
116,0.503
117,0.503
118,0.503
119,0.503
120,0.503
121,0.503
122,0.503
123,0.503
124,0.503
125,0.503
126,0.503
127,0.503
128,0.503
129,0.503
130,0.503
131,0.503
132,0.503
133,0.503
134,0.503
135,0.503
136,0.503
137,0.503
138,0.503
139,0.503
140,0.503
141,0.503
142,0.503
143,0.503
144,0.503
145,0.503
146,0.503
147,0.503
148,0.503
149,0.503
150,0.503
151,0.503
152,0.503
153,0.503
154,0.503
155,0.503
156,0.503
157,0.503
158,0.503
159,0.503
160,0.503
161,0.503
162,0.503
163,0.503
164,0.503
165,0.503
166,0.503
167,0.503
168,0.503
169,0.503
170,0.503
171,0.503
172,0.503
173,0.503
174,0.503
175,0.503
176,0.503
177,0.503
178,0.503
179,0.503
180,0.503
181,0.503
182,0.503
183,0.503
184,0.503
185,0.503
186,0.503
187,0.503
188,0.503
189,0.503
190,0.503
191,0.503
192,0.503
193,0.503
194,0.503
195,0.503
196,0.503
197,0.503
198,0.503
199,0.503
