step,time_ms
1,3.011
2,0.196
3,0.181
4,0.179
5,0.182
6,0.170
7,0.161
8,0.157
9,0.159
10,0.158
11,0.306
12,0.194
13,0.166
14,0.151
15,0.149
16,0.157
17,0.191
18,0.146
19,0.144
20,0.160
21,0.157
22,0.161
23,0.149
24,0.165
25,0.143
26,0.155
27,0.248
28,0.184
29,0.166
30,0.151
31,0.149
32,0.145
33,0.145
34,0.144
35,0.144
36,0.143
37,0.142
38,0.143
39,0.142
40,0.143
41,0.144
42,0.143
43,0.142
44,0.142
45,0.142
46,0.141
47,0.146
48,0.142
49,0.141
50,0.143
51,0.143
52,0.147
53,0.142
54,0.143
55,0.142
56,0.141
57,0.142
58,0.157
59,0.148
60,0.141
61,0.142
62,0.142
63,0.141
64,0.141
65,0.142
66,0.142
67,0.141
68,0.142
69,0.141
70,0.141
71,0.171
72,0.258
73,0.174
74,0.169
75,0.160
76,0.150
77,0.153
78,0.157
79,0.159
80,0.154
81,0.154
82,0.156
83,0.159
84,0.237
85,0.263
86,0.163
87,0.153
88,0.152
89,0.154
90,0.152
91,0.146
92,0.142
93,0.146
94,0.142
95,0.152
96,0.143
97,0.142
98,0.142
99,0.141
100,0.142
101,0.143
102,0.143
103,0.142
104,0.142
105,0.142
106,0.148
107,0.148
108,0.149
109,0.152
110,0.143
111,0.143
112,0.143
113,0.143
114,0.143
115,0.146
116,0.143
117,0.143
118,0.143
119,0.142
120,0.143
121,0.155
122,0.144
123,0.145
124,0.143
125,0.150
126,0.152
127,0.157
128,0.157
129,0.152
130,0.145
131,0.156
132,0.150
133,0.144
134,0.150
135,0.153
136,0.150
137,0.143
138,0.150
139,0.153
140,0.152
141,0.150
142,0.158
143,0.159
144,0.155
145,0.195
146,0.181
147,0.148
148,0.147
149,0.147
150,0.147
151,0.147
152,0.147
153,0.147
154,0.148
155,0.157
156,0.155
157,0.154
158,0.156
159,0.159
160,0.159
161,0.197
162,0.152
163,0.144
164,0.142
165,0.142
166,0.142
167,0.142
168,0.144
169,0.145
170,0.142
171,0.142
172,0.144
173,0.143
174,0.178
175,0.234
176,0.201
177,0.170
178,0.164
179,0.156
180,0.156
181,0.156
182,0.156
183,0.158
184,0.159
185,0.255
186,0.162
187,0.147
188,0.151
189,0.151
190,0.144
191,0.151
192,0.297
193,0.171
194,0.156
195,0.160
196,0.157
197,0.158
198,0.171
199,0.150
200,0.152
201,0.150
202,0.176
203,0.154
204,0.157
205,0.159
206,0.156
207,0.156
208,0.273
209,0.162
210,0.151
211,0.160
212,0.158
213,0.155
214,0.157
215,0.150
216,0.164
217,0.155
218,0.155
219,0.157
220,0.169
221,0.158
222,0.216
223,0.224
224,0.179
225,0.167
226,0.181
227,0.184
228,1.783
229,0.200
230,0.173
231,0.174
232,0.572
233,0.359
234,0.184
235,0.173
236,0.159
237,0.157
238,0.156
239,0.198
240,0.228
241,0.181
242,0.232
243,0.393
244,0.393
245,1.180
246,0.212
247,0.181
248,0.568
249,0.205
250,1.011
251,0.232
252,0.318
253,0.231
254,0.589
255,0.866
256,0.682
257,0.478
258,0.427
259,0.728
260,0.245
261,1.603
262,0.269
263,0.372
264,0.661
265,0.297
266,0.244
267,0.198
268,0.174
269,0.172
270,0.160
271,0.157
272,0.156
273,0.170
274,0.178
275,0.170
276,0.224
277,0.200
278,0.176
279,0.175
280,0.162
281,0.158
282,0.175
283,0.170
284,0.423
285,0.195
286,0.178
287,0.174
288,0.173
289,0.159
290,0.157
291,0.161
292,0.152
293,0.159
294,0.199
295,0.196
296,0.180
297,0.174
298,0.208
299,0.172
300,0.160
301,0.157
302,0.149
303,0.151
304,0.152
305,0.154
306,0.154
307,0.158
308,0.177
309,0.211
310,0.217
311,0.177
312,0.161
313,0.160
314,0.159
315,0.157
316,0.169
317,0.171
318,0.172
319,0.161
320,0.173
321,0.157
322,0.155
323,0.159
324,0.155
325,0.154
326,0.156
327,0.157
328,0.156
329,0.156
330,0.154
331,0.155
332,0.155
333,0.155
334,0.438
335,0.309
336,0.181
337,0.204
338,0.171
339,0.162
340,0.168
341,0.157
342,0.157
343,0.157
344,0.157
345,0.156
346,0.399
347,0.242
348,0.180
349,0.206
350,0.214
351,0.180
352,0.178
353,0.172
354,0.175
355,0.170
356,0.160
357,0.157
358,0.158
359,0.159
360,0.157
361,0.157
362,0.158
363,0.156
364,0.169
365,0.175
366,0.177
367,0.181
368,0.184
369,0.176
370,0.156
371,0.797
372,0.313
373,0.189
374,0.172
375,0.160
376,0.156
377,0.157
378,0.156
379,0.157
380,0.156
381,0.158
382,0.155
383,0.157
384,0.158
385,0.161
386,0.156
387,0.158
388,0.160
389,0.319
390,0.170
391,0.158
392,0.226
393,0.144
394,0.151
395,0.157
396,0.157
397,0.156
398,0.152
399,0.163
400,0.265
401,0.176
402,0.161
403,0.239
404,0.157
405,0.164
406,0.155
407,0.183
408,0.336
409,0.186
410,0.161
411,0.158
412,0.158
413,0.156
414,0.156
415,0.158
416,0.151
417,0.153
418,0.155
419,0.152
420,0.154
421,0.153
422,0.153
423,0.146
424,0.151
425,0.153
426,0.213
427,0.211
428,0.175
429,0.159
430,0.219
431,0.180
432,0.200
433,0.154
434,0.193
435,0.175
436,0.162
437,0.156
438,0.172
439,0.169
440,0.162
441,0.164
442,0.154
443,0.156
444,0.224
445,0.233
446,0.162
447,0.167
448,0.155
449,0.154
450,0.153
451,0.154
452,0.210
453,0.178
454,0.159
455,0.162
456,0.159
457,0.150
458,0.146
459,0.143
460,0.142
461,0.145
462,0.151
463,0.152
464,0.146
465,0.144
466,0.151
467,0.153
468,0.151
469,0.152
470,0.152
471,0.146
472,0.142
473,0.142
474,0.142
475,0.148
476,0.145
477,0.151
478,0.141
479,0.142
480,0.142
481,0.144
482,0.143
483,0.142
484,0.150
485,0.153
486,0.152
487,0.153
488,0.188
489,0.156
490,0.156
491,0.237
492,0.273
493,0.172
494,0.153
495,0.157
496,0.153
497,0.150
498,0.146
499,0.150
500,0.144
501,0.144
502,0.153
503,0.167
504,0.156
505,0.155
506,0.151
507,0.148
508,0.150
509,0.145
510,0.141
511,0.142
512,0.141
513,0.141
514,0.142
515,0.141
516,0.159
517,0.154
518,0.155
519,0.155
520,0.149
521,0.142
522,0.144
523,0.142
524,0.141
525,0.142
526,0.142
527,0.142
528,0.141
529,0.143
530,0.142
531,0.141
532,0.143
533,0.142
534,0.142
535,0.141
536,0.141
537,0.141
538,0.142
539,0.143
540,0.141
541,0.141
542,0.143
543,0.141
544,0.142
545,0.142
546,0.141
547,0.141
548,0.141
549,0.141
550,0.142
551,0.141
552,0.142
553,0.141
554,0.141
555,0.165
556,0.330
557,0.190
558,0.176
559,0.170
560,0.173
561,0.170
562,0.161
563,0.175
564,0.167
565,0.160
566,0.160
567,0.166
568,0.179
569,0.160
570,0.237
571,0.247
572,0.172
573,0.157
574,0.158
575,0.156
576,0.146
577,0.151
578,0.150
579,0.144
580,0.155
581,0.151
582,0.154
583,0.151
584,0.151
585,0.151
586,0.148
587,0.151
588,0.150
589,0.153
590,0.153
591,0.158
592,0.159
593,0.154
594,0.151
595,0.153
596,0.146
597,0.144
598,0.150
599,0.151
600,0.151
601,0.150
602,0.151
603,0.151
604,0.144
605,0.154
606,0.143
607,0.151
608,0.190
609,0.159
610,0.160
611,0.152
612,0.152
613,0.153
614,0.156
615,0.174
616,0.162
617,0.312
618,0.245
619,0.279
620,0.180
621,0.162
622,0.161
623,0.158
624,0.159
625,0.159
626,0.158
627,0.156
628,0.156
629,0.158
630,0.159
631,0.159
632,0.159
633,0.158
634,0.157
635,0.156
636,0.156
637,0.152
638,0.151
639,0.154
640,0.162
641,0.151
642,0.150
643,0.153
644,0.145
645,0.146
646,0.148
647,0.157
648,0.144
649,0.159
650,0.143
651,0.236
652,0.181
653,0.170
654,0.156
655,0.154
656,0.153
657,0.152
658,0.164
659,0.163
660,0.206
661,0.189
662,0.169
663,0.156
664,0.164
665,0.158
666,0.152
667,0.283
668,0.189
669,0.177
670,0.173
671,0.211
672,0.191
673,0.174
674,0.156
675,0.150
676,0.227
677,0.203
678,0.166
679,0.162
680,0.159
681,0.157
682,0.157
683,0.158
684,0.211
685,0.180
686,0.149
687,0.156
688,0.150
689,0.151
690,0.153
691,0.163
692,0.146
693,0.148
694,0.151
695,0.159
696,0.161
697,0.143
698,0.151
699,0.168
700,0.156
701,0.157
702,0.160
703,0.155
704,0.173
705,0.155
706,0.155
707,0.155
708,0.156
709,0.144
710,0.153
711,0.157
712,0.142
713,0.149
714,0.150
715,0.165
716,0.158
717,0.141
718,0.141
719,0.156
720,0.154
721,0.149
722,0.154
723,0.156
724,0.152
725,0.183
726,0.161
727,0.152
728,0.178
729,0.153
730,0.153
731,0.154
732,0.155
733,0.155
734,0.154
735,0.153
736,0.155
737,0.153
738,0.149
739,0.169
740,0.226
741,0.164
742,0.158
743,0.158
744,0.203
745,0.184
746,0.166
747,0.162
748,0.170
749,0.196
750,0.197
751,0.173
752,0.162
753,0.161
754,0.174
755,0.158
756,0.158
757,0.157
758,0.160
759,0.155
760,0.200
761,0.155
762,0.145
763,0.145
764,0.144
765,0.145
766,0.147
767,0.140
768,0.143
769,0.153
770,0.153
771,0.152
772,0.151
773,0.152
774,0.144
775,0.152
776,0.157
777,0.150
778,0.150
779,0.159
780,0.150
781,0.153
782,0.150
783,0.155
784,0.161
785,0.143
786,0.149
787,0.150
788,0.151
789,0.144
790,0.150
791,0.151
792,0.151
793,0.150
794,0.150
795,0.150
796,0.145
797,0.150
798,0.150
799,0.150
800,0.158
801,0.159
802,0.148
803,0.227
804,0.182
805,0.173
806,0.161
807,0.156
808,0.160
809,0.156
810,0.157
811,0.221
812,0.166
813,0.156
814,0.156
815,0.158
816,0.158
817,0.151
818,0.151
819,0.158
820,0.161
821,0.157
822,0.151
823,0.151
824,0.166
825,0.155
826,0.154
827,0.159
828,0.158
829,0.168
830,0.159
831,0.158
832,0.158
833,0.157
834,0.162
835,0.158
836,0.144
837,0.143
838,0.154
839,0.155
840,0.153
841,0.144
842,0.151
843,0.152
844,0.156
845,0.146
846,0.158
847,0.160
848,0.164
849,0.160
850,0.157
851,0.158
852,0.157
853,0.156
854,0.154
855,0.159
856,0.279
857,0.190
858,0.221
859,0.163
860,0.158
861,0.162
862,0.159
863,0.156
864,0.195
865,0.217
866,0.193
867,0.181
868,0.161
869,0.159
870,0.157
871,0.158
872,0.161
873,0.155
874,0.158
875,0.164
876,0.156
877,0.158
878,0.211
879,0.171
880,0.158
881,0.156
882,0.157
883,0.159
884,0.157
885,0.160
886,0.158
887,0.155
888,0.161
889,0.152
890,0.153
891,0.147
892,0.164
893,0.149
894,0.145
895,0.144
896,0.151
897,0.144
898,0.149
899,0.144
900,0.149
901,0.165
902,0.152
903,0.166
904,0.154
905,0.158
906,0.159
907,0.152
908,0.148
909,0.145
910,0.152
911,0.153
912,0.153
913,0.153
914,0.143
915,0.142
916,0.144
917,0.151
918,0.151
919,0.152
920,0.156
921,0.142
922,0.142
923,0.152
924,0.145
925,0.146
926,0.143
927,0.145
928,0.173
929,0.228
930,0.171
931,0.172
932,0.197
933,0.163
934,0.156
935,0.154
936,0.154
937,0.154
938,0.157
939,0.155
940,0.153
941,0.166
942,0.157
943,0.155
944,0.153
945,0.154
946,0.158
947,0.206
948,0.186
949,0.155
