step,time_ms
1,7.345
2,7.162
3,7.093
4,6.962
5,7.146
6,6.936
7,7.036
8,7.141
9,6.850
10,7.146
11,7.005
12,7.282
13,6.710
14,7.035
15,7.032
16,7.080
17,7.087
18,7.157
19,6.962
20,6.953
21,7.008
22,6.871
23,6.916
24,6.957
25,7.177
26,7.032
27,6.894
28,6.829
29,6.851
30,6.987
31,6.983
32,6.809
33,7.157
34,7.011
35,6.963
36,7.110
37,7.029
38,6.870
39,6.810
40,7.128
41,6.991
42,6.989
43,6.929
44,7.052
45,6.921
46,7.021
47,6.952
48,6.939
49,7.148
50,6.957
51,7.036
52,6.972
53,6.990
54,7.077
55,6.891
56,7.029
57,7.031
58,6.854
59,6.903
60,7.178
61,7.196
62,7.023
63,7.044
64,6.990
65,7.174
66,7.052
67,6.952
68,6.988
69,6.876
70,6.951
71,6.945
72,6.988
73,6.846
74,7.213
75,7.041
76,7.147
77,7.268
78,7.083
79,7.307
80,6.901
81,7.501
82,7.096
83,6.866
84,7.205
85,7.147
86,7.136
87,7.121
88,7.069
89,7.037
90,6.936
91,7.034
92,6.844
93,7.038
94,6.956
95,6.957
96,7.007
97,6.867
98,6.861
99,6.886
100,7.013
101,6.969
102,7.079
103,6.877
104,6.891
105,6.872
106,6.939
107,6.773
108,7.165
109,6.929
110,6.970
111,6.891
112,7.068
113,6.977
114,6.892
115,6.976
116,6.946
117,6.670
118,7.099
119,6.963
120,6.905
121,6.906
122,6.890
123,7.006
124,6.993
125,6.961
126,7.028
127,7.210
128,6.907
129,6.978
130,7.092
131,6.956
132,6.891
133,6.914
134,6.932
135,6.852
136,7.038
137,6.972
138,7.095
139,7.034
140,6.841
141,7.160
142,6.877
143,6.900
144,6.890
145,6.883
146,6.945
147,6.897
148,6.900
149,6.880
150,6.830
151,7.002
152,7.133
153,7.049
154,7.053
155,7.038
156,7.071
157,6.811
158,6.908
159,7.042
160,6.993
161,6.924
162,6.888
163,6.852
164,6.857
165,6.877
166,6.967
167,7.090
168,7.004
169,6.860
170,6.986
171,6.981
172,6.930
173,6.922
174,6.760
175,7.123
176,6.927
177,6.898
178,6.896
179,6.884
180,6.830
181,7.000
182,7.043
183,6.786
184,6.983
185,7.063
186,7.007
187,7.051
188,6.920
189,6.959
190,7.020
191,6.891
192,6.927
193,6.838
194,6.834
195,6.846
196,6.984
197,6.850
198,7.157
199,6.935
200,7.127
201,6.893
202,6.927
203,6.994
204,6.978
205,7.235
206,6.858
207,6.984
208,6.986
209,6.988
210,6.990
211,6.988
212,6.862
213,6.982
214,7.111
215,7.036
216,6.944
217,6.959
218,6.932
219,6.969
220,7.047
221,6.914
222,6.864
223,6.822
224,6.860
225,6.965
226,7.015
227,6.954
228,7.014
229,6.889
230,6.901
231,7.048
232,6.925
233,6.938
234,6.946
235,6.856
236,6.925
237,6.943
238,6.865
239,6.972
240,6.931
241,6.922
242,7.188
243,6.927
244,6.892
245,6.932
246,7.002
247,6.895
248,6.854
249,7.184
250,7.081
251,6.891
252,6.876
253,6.852
254,6.869
255,6.856
256,6.949
257,7.045
258,7.075
259,6.960
260,7.043
261,6.939
262,6.994
263,6.935
264,6.921
265,7.250
266,6.853
267,6.944
268,7.197
269,6.895
270,7.003
271,7.100
272,7.116
273,6.786
274,7.213
275,7.073
276,6.965
277,6.991
278,6.951
279,6.786
280,6.961
281,7.178
282,6.943
283,7.057
284,7.149
285,7.155
286,6.929
287,6.970
288,7.073
289,7.271
290,17.901
291,8.775
292,6.937
293,7.209
294,7.271
295,6.863
296,7.197
297,7.262
298,6.979
299,7.091
300,7.058
301,6.954
302,6.850
303,7.189
304,7.207
305,7.011
306,7.094
307,7.196
308,6.840
309,7.294
310,7.053
311,6.968
312,7.024
313,7.008
314,7.222
315,6.989
316,7.007
317,6.983
318,7.023
319,7.023
320,7.103
321,7.112
322,6.868
323,7.013
324,7.159
325,7.031
326,6.894
327,6.819
328,6.939
329,6.902
330,6.905
331,6.978
332,6.791
333,7.190
334,7.197
335,6.917
336,7.012
337,6.935
338,6.949
339,7.274
340,7.190
341,7.020
342,7.036
343,7.208
344,7.084
345,7.019
346,7.109
347,7.146
348,7.155
349,6.978
350,6.976
351,7.168
352,7.056
353,7.141
354,6.985
355,6.978
356,6.965
357,6.921
358,6.914
359,6.975
360,7.117
361,7.048
362,6.718
363,6.902
364,6.922
365,7.081
366,6.935
367,6.928
368,6.984
369,6.938
370,6.940
371,6.903
372,6.957
373,6.936
374,7.005
375,7.015
376,7.014
377,6.754
378,7.308
379,7.058
380,7.197
381,7.154
382,7.363
383,6.857
384,7.353
385,7.026
386,7.070
387,6.880
388,7.189
389,7.065
390,7.009
391,7.150
392,7.148
393,6.980
394,6.975
395,6.933
396,6.842
397,6.796
398,6.951
399,7.058
400,6.819
401,7.021
402,7.006
403,6.963
404,6.958
405,7.117
406,7.375
407,16.113
408,13.861
409,8.338
410,8.049
411,7.591
412,9.549
413,7.263
414,7.331
415,9.105
