step,time_ms
1,0.357
2,0.225
3,0.204
4,0.200
5,0.194
6,0.191
7,0.191
8,0.191
9,0.190
10,0.189
11,0.192
12,0.189
13,0.189
14,0.187
15,0.192
16,0.188
17,0.187
18,0.189
19,0.187
20,0.188
21,0.188
22,0.187
23,0.190
24,0.187
25,0.189
26,0.291
27,0.239
28,0.208
29,0.217
30,0.204
31,0.200
32,0.195
33,0.195
34,0.343
35,0.391
36,0.289
37,0.216
38,0.201
39,0.178
40,0.177
41,0.177
42,0.175
43,0.177
44,0.180
45,0.176
46,0.177
47,0.174
48,0.179
49,0.191
50,0.188
51,0.186
52,0.189
53,0.232
54,0.226
55,0.229
56,0.235
57,0.227
58,0.223
59,0.221
60,0.222
61,0.221
62,0.219
63,0.221
64,0.221
65,0.218
66,0.219
67,0.218
68,0.220
69,0.220
70,0.220
71,0.229
72,0.236
73,0.210
74,0.188
75,0.186
76,0.182
77,0.182
78,0.267
79,0.224
80,0.189
81,0.183
82,0.180
83,0.177
84,0.179
85,0.179
86,0.178
87,0.178
88,0.190
89,0.208
90,0.208
91,0.208
92,0.209
93,0.208
94,0.208
95,0.208
96,0.208
97,0.207
98,0.211
99,0.205
100,0.208
101,0.209
102,0.208
103,0.208
104,0.208
105,0.211
106,0.210
107,0.211
108,0.210
109,0.211
110,0.210
111,0.211
112,0.210
113,0.210
114,0.212
115,0.209
116,0.200
117,0.202
118,0.206
119,0.207
120,0.200
121,0.205
122,0.199
123,0.200
124,0.202
125,0.295
126,0.330
127,0.250
128,0.189
129,0.189
130,0.180
131,0.175
132,0.180
133,0.179
134,0.180
135,0.175
136,0.169
137,0.175
138,0.172
139,0.170
140,0.168
141,0.173
142,0.169
143,0.167
144,0.173
145,0.184
146,0.197
147,0.199
148,0.194
149,0.195
150,0.199
151,0.198
152,0.197
153,0.198
154,0.197
155,0.199
156,0.187
157,0.188
158,0.187
159,0.190
160,0.192
161,0.198
162,0.194
163,0.191
164,0.193
165,0.190
166,0.193
167,0.192
168,0.192
169,0.192
170,0.188
171,0.188
172,0.193
173,0.189
174,0.187
175,0.189
176,0.351
177,0.279
178,0.209
179,0.201
180,0.232
181,0.204
182,0.194
183,0.211
184,0.202
185,0.239
186,0.182
187,0.175
188,0.172
189,0.174
190,0.170
191,0.167
192,0.172
193,0.167
194,0.168
195,0.167
196,0.168
197,0.171
198,0.167
199,0.175
200,0.180
201,0.177
202,0.192
203,0.178
204,0.181
205,0.182
206,0.182
207,0.183
208,0.180
209,0.182
210,0.181
211,0.184
212,0.182
213,0.181
214,0.181
215,0.183
216,0.181
217,0.178
218,0.185
219,0.185
220,0.180
221,0.182
222,0.181
223,0.181
224,0.184
225,0.183
226,0.181
227,0.285
228,0.268
229,0.200
230,0.200
231,0.186
232,0.184
233,0.184
234,0.188
235,0.185
236,0.181
237,0.186
238,0.179
239,0.202
240,0.233
241,0.208
242,0.248
243,0.216
244,0.289
